Joshua Project People Group Data

ROL3,Language,NbrPGICs,NbrCountries,Status,BibleStatus,BibleYear,NTYear,PortionsYear,JF,AudioRecordings,YouVersion_ID
asn,"Asurini of Xingu",1,1,L,2,,,,N,N,
asu,"Asurini, Tocantins",1,1,L,3,,,1973-1979,N,Y,
atm,Ata,,,N,4,,Yes,Yes,N,N,atm
adb,Atauran,1,1,L,3,,,2025,N,N,4251
tay,Atayal,1,1,L,5,2023,1974-2003,1964,N,Y,
teo,Ateso,3,2,L,5,1961-2019,1930-1966,1910-1992,Y,Y,teo
aph,Athpariya,2,,L,4,,2023,2014,Y,N,aph
atk,Ati,1,1,L,3,,,Yes,N,Y,
atj,Atikamekw,1,1,L,4,,2014-2017,1980-2007,N,N,atj
plb,Atin,1,1,L,0,,,,N,N,
aqm,Atohwaim,1,1,L,2,,,,N,Y,
ato,"Atong (Cameroon)",1,1,L,2,,,,N,Y,
aot,"Atong (India)",,,L,2,,,,N,Y,
aox,Atorada,,,N,0,,,,N,N,
tdv,Atoro,1,1,L,1,,,,N,Y,
cch,Atsam,1,1,L,3,,,1923-1932,N,Y,
atw,Atsugewi,,,N,0,,,,N,N,
azt,"Atta, Faire",1,1,L,0,,,,N,Y,
att,"Atta, Pamplona",1,1,L,4,,1996,1969-2001,N,Y,att
atp,"Atta, Pudtol",1,1,L,0,,,,N,Y,
ati,Attie,1,1,L,4,,1995,1931-1991,N,Y,
avt,Au,1,1,L,4,,1982-2013,1971-1972,N,Y,avt
kud,Auhelawa,1,1,L,5,1990,2008-2014,1986-1993,Y,Y,kud
djk,Aukan,3,3,L,5,Yes,1999-2009,1975-1996,Y,Y,djk
aul,Aulua,1,1,L,3,,,1894-1966,N,Y,
auh,Aushi,2,2,L,3,,,Yes,N,N,4447
asf,Auslan,1,1,L,3,,,1999-2026,Y,N,
aut,Austral,1,1,L,0,,,,N,N,
asw,"Australian Aboriginal Sign Language",,,L,0,,,,N,N,
asq,"Austrian Sign Language",1,1,L,2,,,,N,N,
smf,Auwe,1,1,L,1,,,,N,Y,
auu,Auye,1,1,L,4,,2016-2020,1993-2007,N,Y,auu
awu,"Auyu, Central",1,1,L,4,,2024,1985,N,Y,
avv,Ava-Canoeiro,,,L,1,,,,N,N,
ava,Avar,5,2,L,4,,2008,1979-2007,Y,Y,ava
avn,Avatime,1,1,L,4,,2017,Yes,N,Y,avn
